Id,Entidad financiera,Dirección,Localidad,CP,Telediscado,Teléfono,Fax,Caj.Aut.,Latitud,Longitud
6170,BANCO CREDICOOP COOPERATIVO LIMITADO,SAN MARTIN 14,CONCORDIA,E3202FUB,345,4216521,4216521,NO,-31.396511,-58.019716
6171,NUEVO BANCO DE ENTRE RÍOS S.A.,SARMIENTO 1249,CONCORDIA,E3202AHI,,,,NO,-31.23087,-58.01058
6172,NUEVO BANCO DE ENTRE RÍOS S.A.,SARMIENTO 1249 Y RAWSON,CONCORDIA,E3202AHI,,,,NO,-32.23087,-58.01058
6173,NUEVO BANCO DE ENTRE RÍOS S.A.,SARMIENTO 1249 Y RAWSON,CONCORDIA,E3202AHI,,,,NO,-31.23087,-58.01068
6174,NUEVO BANCO DE ENTRE RÍOS S.A.,SARMIENTO 1249 Y RAWSON,CONCORDIA,E3202AHI,,,,NO,-31.23087,-58.01058
6175,NUEVO BANCO DE ENTRE RÍOS S.A.,URQUIZA 552,CONCORDIA,E3200AGJ,,,,NO,-31.23546,-58.0105
6176,BANCO MACRO S.A.,URQUIZA 582 PB,CONCORDIA,E3200AGJ,,,,NO,-31.398101,-58.017999
6177,BANCO SANTANDER ARGENTINA S.A.,URQUIZA 652 PB DPTO: 1,CONCORDIA,E3200AGL,,,,NO,31.396792,58.017624
6178,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. PANCHO RAMIREZ S/N Y ENTRE RIOS,CONSCRIPTO BERNARDI,E3188ABA,,,,NO,-31.048056,-59.084671
6179,NUEVO BANCO DE ENTRE RÍOS S.A.,HIPOLITO YRIGOYEN 1545,CRESPO,E3116BUW,,,,NO,-32.02002,-60.18288
6180,BANCO MACRO S.A.,MORENO 1445 PB,CRESPO,E3116CWS,,,,NO,-32.032013,-60.307774
6181,BANCO DE LA NACION ARGENTINA,SAN MARTIN 1031,CRESPO,E3116DUM,,,,NO,-33.010284,-585.19404
6182,BANCO DE LA NACION ARGENTINA,SAN MARTIN 1031,CRESPO,E3116DUM,,,,NO,-33.01028,-585.19404
6183,BANCO DE LA NACION ARGENTINA,GRAL. DR. PASCUAL ECHAGUE 350,DIAMANTE,E3105DGH,,,,NO,-32.067156,-606.41956
6184,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MARTIN 300,DIAMANTE,E3105DTF,,,,NO,-32.04001,-60.38334
6185,NUEVO BANCO DE ENTRE RÍOS S.A.,PRESIDENTE JUAN DOMINGO PERON 232,EL PINGO,E3132XAA,,,,NO,-31.5822,-59.89123
6186,NUEVO BANCO DE ENTRE RÍOS S.A.,URQUIZA S/N,ENRIQUE CARBO,E2852XAD,,,,NO,-33.148508,-59.208467
6187,BANCO DE LA NACION ARGENTINA,AV. SAN MARTIN 208,FEDERACION,E3206APP,,,,NO,-30.988532,-579.14458
6188,BANCO DE LA NACION ARGENTINA,AV. SAN MARTIN 208,FEDERACION,E3206APP,,,,NO,-30.98853,-579.14458
6189,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MARTIN 184,FEDERACION,E3206APO,,,,NO,-30.59175,-57.55075
6190,NUEVO BANCO DE ENTRE RÍOS S.A.,BELGRANO 602,FEDERAL,E3180BTT,,,,NO,-30.57094,-58.46576
6191,BANCO DE LA NACION ARGENTINA,DONOVAN,FEDERAL,E3180DHI,,,,NO,-30.9565,-587.80375
6192,BANCO DE LA NACION ARGENTINA,DONOVAN,FEDERAL,E3180DHI,,,,NO,-30.956496,-587.80375
6193,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. SAN MARTIN 398,GENERAL CAMPOS,E3216AFQ,,,,NO,-31.31256,-58.24191
6194,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MARTIN 159,GENERAL CAMPOS,E3218DKC,,,,NO,-31.37389,-58.30112
6195,NUEVO BANCO DE ENTRE RÍOS S.A.,DR. ECHAZARRETA 693,GENERAL GALARZA,E2843AHM,,,,NO,-32.43109,-59.23282
6196,NUEVO BANCO DE ENTRE RÍOS S.A.,LAURENCENA S/N,GENERAL RACEDO,E3114XAG,,,,NO,-31.585602,-60.24279
6197,BANCO DE LA NACION ARGENTINA,AV. SAN MARTIN 312,GENERAL RAMIREZ,E3105DTH,,,,NO,-32.940918,-606.352938
6198,BANCO DE LA NACION ARGENTINA,AV. SAN MARTIN 312,GENERAL RAMIREZ,E3105DTH,,,,NO,-32.174793,-601.99078
6199,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MARTIN 298,GENERAL RAMIREZ,E3164APP,,,,NO,-32.10284,-60.11557
6200,NUEVO BANCO DE ENTRE RÍOS S.A.,BV. SAN MARTIN S/N (CALLE 17) S/N,GILBERT,E2828ABA,,,,NO,-32.533333,-58.933333
6201,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. LIBERTADOR SAN MARTIN 20,GOBERNADOR MANSILLA,E2845APP,,,,NO,-32.32465,-59.21158
6202,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. LIBERTADOR SAN MARTIN 202,GOBERNADOR MANSILLA,E2845APP,,,,NO,-32.32465,-59.21158
6203,BANCO BBVA ARGENTINA S.A.,SAN ANTONIO 100,GUALEGUAY,E2840ABC,,,,NO,-33.151241,-59.334412
6204,BANCO BBVA ARGENTINA S.A.,SAN ANTONIO 100,GUALEGUAY,E2840ABC,3444,422035,,NO,-33.151241,-59.334412
6205,BANCO DE LA NACION ARGENTINA,SAN ANTONIO 52,GUALEGUAY,E2840EOB,,,,NO,-33.14764,-593.12224
6206,NUEVO BANCO DE ENTRE RÍOS S.A.,SARMIENTO 49,GUALEGUAY,E2840FBA,,,,NO,-33.08201,-59.18531
6207,BANCO DE LA NACION ARGENTINA,25 DE MAYO,GUALEGUAYCHU,E2822ABF,,,,NO,-33.009374,-585.17239
6208,BANCO DE LA NACION ARGENTINA,25 DE MAYO,GUALEGUAYCHU,E2822ABF,,,,NO,-33.00937,-585.17239
6209,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,25 DE MAYO 1124,GUALEGUAYCHU,E2822ABJ,,,,NO,-33.009619,-58.521118
6210,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,25 DE MAYO 836,GUALEGUAYCHU,E2822ABD,,,,NO,-33.009446,-58.517968
6211,BANCO CREDICOOP COOPERATIVO LIMITADO,25 DE MAYO 852,GUALEGUAYCHU,E2822ABF,,,,NO,-33.009398,-58.516465
6212,BANCO CREDICOOP COOPERATIVO LIMITADO,25 DE MAYO 852,GUALEGUAYCHU,E2822ABF,3446,436027,436027,NO,-33.009398,-58.516465
6213,BANCO BBVA ARGENTINA S.A.,25 DE MAYO 944,GUALEGUAYCHU,E2822ABF,,,,NO,-33.009468,-58.517921
6214,BANCO BBVA ARGENTINA S.A.,25 DE MAYO 944,GUALEGUAYCHU,E2822ABF,3446,424456,,NO,-33.009468,-58.517921
6215,NUEVO BANCO DE ENTRE RÍOS S.A.,25 DE MAYO 949,GUALEGUAYCHU,E2822ABE,,,,NO,-33.00341,-58.3105
6216,BANCO DE LA NACION ARGENTINA,CALLE 2,GUALEGUAYCHU,E2822ABF,,,,NO,-33.498289,-587.96665
6217,BANCO SANTANDER ARGENTINA S.A.,GRAL JUSTO J DE URQUIZA 1033 PB DPTO: 1,GUALEGUAYCHU,E2822ABG,,,,NO,33.677972,59.665245
6218,BANCO PATAGONIA S.A.,URQUIZA 1021,GUALEGUAYCHU,E2820ABG,,,,NO,33.008952,585.19073
6219,NUEVO BANCO DE ENTRE RÍOS S.A.,URQUIZA 1272,GUALEGUAYCHU,E2820ABL,,,,NO,-33.00325,-58.31259
6220,NUEVO BANCO DE ENTRE RÍOS S.A.,URQUIZA 111,HASENKAMP,E3134BEA,,,,NO,-31.30347,-59.5018
6221,BANCO DE LA NACION ARGENTINA,AV. SAN MARTIN 298,HERNANDARIAS,E3127XAE,,,,NO,-31.229335,-599.86832
6222,NUEVO BANCO DE ENTRE RÍOS S.A.,CORDOBA 245,HERNANDARIAS,E3127ACE,,,,NO,-31.13541,-59.59084
6223,NUEVO BANCO DE ENTRE RÍOS S.A.,TOMAS DE ROCAMORA 183,HERNANDEZ,E3156BFA,,,,NO,-32.20137,-60.01398
6224,NUEVO BANCO DE ENTRE RÍOS S.A.,ANDRES QUEIROLO 663,HERRERA,E3272XAY,,,,NO,-32.26038,-58.38055
6225,NUEVO BANCO DE ENTRE RÍOS S.A.,ARTURO SALAS 58,IBICUY,E2820ABL,,,,NO,-33.44444,-59.0927
6226,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. JUAN BAUTISTA ALBERDI 346,LA CRIOLLA,E3217AAA,,,,NO,-31.269024,-58.108324
6227,BANCO DE LA NACION ARGENTINA,SAN MARTIN 901,LA PAZ,E3190GCM,,,,NO,-30.7412,-596.44604
6228,BANCO DE LA NACION ARGENTINA,SAN MARTIN 901,LA PAZ,E3190GCM,,,,NO,-30.741199,-596.44604
6229,NUEVO BANCO DE ENTRE RÍOS S.A.,URQUIZA 1021,LA PAZ,E3190GMK,,,,NO,-30.4432,-59.38345
6230,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. PRESIDENTE PERON 98,LARROQUE,E2854CNB,,,,NO,-33.01535,-59.00012
6231,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MARTIN 669,LOS CHARRUAS,E3215APA,,,,NO,-31.10074,-58.11206
6232,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MARTIN S/N,LOS CHARRUAS,E3215APA,,,,NO,-31.10074,-58.11206
6233,NUEVO BANCO DE ENTRE RÍOS S.A.,BARTOLOME MITRE 84,LOS CONQUISTADORES,E3183XAE,,,,NO,-30.3529,-58.2759
6234,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. SOBERANIA 200,LUCAS GONZALEZ,E3158ALN,,,,NO,-32.23291,-59.32012
6235,BANCO DE LA NACION ARGENTINA,AV. SOBERANIA 295,LUCAS GONZALEZ,E3158ALB,,,,NO,-32.385398,-595.32326
6236,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. RAMIREZ 501,MACIA,E3177BUG,,,,NO,-32.10284,-59.23495
6237,BANCO DE LA NACION ARGENTINA,AV. ARGENTINA 405,MARIA GRANDE,E3133ALB,,,,NO,-31.662749,-599.05392
6238,BANCO DE LA NACION ARGENTINA,AVDA. ARGENTINA 405,MARIA GRANDE,E3133ALB,,,,NO,-31.662749,-599.0539
6239,NUEVO BANCO DE ENTRE RÍOS S.A.,HIPOLITO YRIGOYEN 602,MARIA GRANDE,E3133BJN,,,,NO,-31.40004,-59.53461
6240,NUEVO BANCO DE ENTRE RÍOS S.A.,SAN MARTIN 601,NOGOYA,E3150FJM,,,,NO,-32.2336,-59.47131
6241,BANCO DE LA NACION ARGENTINA,SAN MARTIN 800,NOGOYA,E3150FJP,,,,NO,-32.397157,-597.87984
6242,BANCO DE LA NACION ARGENTINA,SAN MARTÍN 800,NOGOYA,E3150FJP,,,,NO,-32.397157,-597.87984
6243,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. LOS LAURELES 45,ORO VERDE,E3100XAD,,,,NO,-31.829752,-60.522394
6244,NUEVO BANCO DE ENTRE RÍOS S.A.,LOS CARDENALES 510,ORO VERDE,E3100XAD,,,,NO,-31.49199,-60.31015
6245,BANCO CREDICOOP COOPERATIVO LIMITADO,25 DE MAYO 152,PARANA,E3100HID,343,4313986,4313986,NO,-31.73401,-60.528897
6246,BANCO SANTANDER ARGENTINA S.A.,25 DE MAYO 181,PARANA,E3100HIC,,,,NO,31.734237,60.528411
